editor,action,Line Of Business  Component,Channel Component,Product Component,L0 Component,domain_sequence Qualifier,L1 Component,sub_domain_sequence Qualifier,Business Flow Component,business_flow_sequence Qualifier,sequence_uml Qualifier,Task Component,Task_sequence Qualifier,Application Component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Sign in,2,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Sign up,3,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Verify Business Info,4,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Check Service Availability,5,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Select Fiber Speed,6,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Select Add-Ons,7,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Explore Pricing,8,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,"Review, Share and Save Cart Selections",9,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Initiate Credit Check,10,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Credit and Bill Preferences,11,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Create Passcode,12,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Review Order,13,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Accept Terms,14,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Receive Confirmation,15,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Setup payment and communication preferences,16,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,View monthly bill,17,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Update Payment method,18,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Schedule Install,19,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Provide Installation Contact,20,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Confirm Install,21,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Complete appointment checklist,22,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,myATT Registration,23,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Digital Experience,ABF,Learn,1,Sales Activity Management ,4,New Customer Order,1,,Answer site readiness questions,24,ATTeBiz,23015,23015
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,,Initiate Opportunity,1,ROME,14269,14269
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,Sales Express ->> ROME: Integrated DPPCO,Initiate Opportunity,1,Sales Express,22787,22787
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,"CPC ->> Presales_SFDC
CPC ->> SalesExpress
CPC ->> ASF_Salesforce",Initiate Opportunity,1,CPC,17765,17765
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,ASF - >> ROME: Integrated DPPCO,Intake and Opportunity Validation,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,ARIS/EXACT ->> CPC: Exchange Access Control and Tracking Review,Intake and Opportunity Validation,2,ARIS/EXACT,224,224
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,FRVT ->> CPC: Fiber Routing and Virtualization Check,Intake and Opportunity Validation,2,FRVT,24444,24444
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,Learn,1,Sales Opportunity Management,7,Opportunity Create,1,,Intake and Opportunity Validation,2,EIS,26683,26683
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Initiate Opportunity Creatioin and Launch Pricer-D,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Validate Product Selection,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Learn,1,Sales Opportunity Management ,7,Opportunity Create,1,,Select Oppty Type,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,HSIA,Learn,1,Discovery Management ,8,Opportunity Create,1,,Create ABF Sales Opportunity,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Learn,1,Discovery Management ,8,Opportunity Create,1,,Qualify and Validate,2,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,Learn,1,Discovery Management ,8,Opportunity Create,1,,Collect pricing feed daily ,3,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,HSIA,Learn,1,Discovery Management ,8,Opportunity Create,1,,Add HSIA Opportunity,4,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Validate Service Address,3,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Engage NSS for Access Evaluation,4,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Request Contracting Support,5,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Initiate Contract Generation and Signature,6,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Send Contract for Electronic Signature,7,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,ASE,Learn,1,Lead Management ,6,Opportunity Create,1,,Return Executed Contract,8,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,HSIA,Buy,2,Pricing Management ,5,Opportunity Create,1,,Pricing and Contracting,5,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,HSIA,Buy,2,Pricing Management ,5,Opportunity Create,1,,Pre-Qualify,6,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,HSIA,Buy,2,Proposal Management ,6,Opportunity Create,1,,Qualify and Validate,7,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Buy,2,Sales Order Management ,3,Order Complete,5,,Create suborder,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Buy,2,Proposal Management ,6,Proposal Create,3,,Select proposal type,1,ASF,29572,29572
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,Buy,2,Proposal Management ,6,Proposal Create,3,,Email proposal,2,ASF,29572,29572
em114j,Add,AT&T Business,Service Delivery,ADI,Get,3,Provisioning Management,2,Provisioning Complete,7,,Pull Sales Order Data ,1,EFMS,13537,13537
