lineOfBusiness Component,editor Qualifier,channel Component,product Component,domain Component,domain_sequence Qualifier,subdomain Component,sub_domain_sequence Qualifier,business_flow Component,business_flow_sequence Qualifier,Task Component,task_sequence Qualifier,application Component,correlation_id Qualifier,FK_Data[Applications].Correlation_ID
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Order w/Customer,7,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Select ONT,15,LSBBT,14311,14311
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Jobs,3,EDGE,19062,19062
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Order w/Customer,7,EDGE,19062,19062
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Add Port to Door,12,ABPT,18781,18781
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,IDP-Cloud-CG,31468,31468
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Jobs,3,Digital IDP,27531,27531
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Qualify Terminal / True Test,9,LSBBT,14311,14311
Mass Markets,tm0828,Online,Mobility,Shop & Purchase,1,Order Plan/Device,2,Purchase Product,1,Go to att.com,1,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,ATT CCT AEP,26150,26150
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,ATT CCT Service Access Gateway,26215,26215
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,CCT ATT IPCS,25363,25363
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,ECO USP,34361,34361
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,IVR Menu,2,LSBBT,14311,14311
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Retrieve Customer Info & Call Routing,3,ATT CCT APIGEE,30793,30793
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Retrieve Customer Info & Call Routing,3,DialogFlow,31036,31036
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Retrieve Customer Info & Call Routing,3,IDP- Chat VA ANDi,30063,30063
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Test Light Levels,14,LSBBT,14311,14311
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Perform Final True Test,17,LSBBT,14311,14311
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Retrieve Customer Info & Call Routing,3,PC-GCP BI,31445,31445
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Offer / Schedule Callback,4,ATT CCTP MC VHT FRAME,21359,21359
Mass Markets,em114j,MVNO,Wholesale Mobility,Use & Manage,2,Change Settings & Prefrences,1,Triage / MVNO Care,2,Assess Porting Issues,1,CSI - Network Management,20188,20188
Mass Markets,tm0828,Online,Mobility,Shop & Purchase,1,Order Plan/Device,2,Purchase Product,1,"Select ""Wireless""",2,IDP-Upper Funnel Cloud,31548,31548
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Select Job / View Comments,4,LS-OMS,10038,10038
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Place Fiber Connectors,11,GRANITE,9723,9723
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Install Buried Drop Request,21,ABWS-D,32007,32007
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Register RG,22,BBNMS-LS,16188,16188
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Register RG,22,ISAAC WFE,10593,10593
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Check Port,16,BBNMS-LS,16188,16188
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Make Call Back,5,ATT CCTP MC VHT FRAME,21359,21359
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Integrate Telephony,6,ATT CCTP CTI FRAME,9367,9367
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Jobs,3,DMP,30754,30754
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Test Wifi Quality / Speed,19,LSBBT,14311,14311
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Check Realtime LPA,20,LSBBT,14311,14311
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Arrive on Prem / Update Job,6,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Mark Job Complete,24,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Check Port,16,(FED) - FASTBPM,27267,27267
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Install Fiber Jack,13,GRANITE,9723,9723
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Integrate Telephony,6,ATT CCTP ICM GEN ADAPTER FRAME,20813,20813
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Check Port,16,ABPT,18781,18781
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Handoff to Agent from IVR,7,ATT Coral Desktop,26959,26959
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Handoff to Agent from IVR,7,LS CRM,10056,10056
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Handoff to Agent from IVR,7,CCSF,30685,30685
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Transcribe / Redact SPI,8,SC-SPI,26967,26967
Mass Markets,tm0828,Online,Mobility,Shop & Purchase,1,Order Plan/Device,2,Purchase Product,1,Confirm Purchase,14,YODA,21053,21053
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Log Into Device,2,WIAM-AM,26224,26224
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Register RG,22,ECO USP,34361,34361
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Transcribe / Redact SPI,8,RAISR,28167,28167
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Transcribe / Redact SPI,8,Sonus TCCS,26630,26630
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Provision Device,1,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Provision Device,1,Intune,30989,30989
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Provision Device,1,MIMDM,21011,21011
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Provision Device,1,WIAM-AM,26224,26224
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Log Into Device,2,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Jobs,3,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Select Job / View Comments,4,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Arrive on Prem / Update Job,6,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Review Order w/Customer,7,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Qualify to Terminal / Verify Assignments,8,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Qualify Terminal / True Test,9,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Test Light @ PFP,10,Atlas-UI,28619,28619
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,Install Consumer Broadband ,1,Test Set,10,LSBBT,14311,14311
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Record / Monitor Call,9,ATT VERINT CQM,9248,9248
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Record / Monitor Call,9,Qfiniti Call Recording,17611,17611
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Authenticate Customer,10,MPSYS,8841,8841
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Authenticate Customer,10,WIAM-AM,26224,26224
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Authenticate Customer,10,IDP-IDM,32765,32765
Mass Markets,lg8383,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Lookup Customer,11,(FED) - US,24433,24433
Mass Markets,lg8383,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Lookup Customer,11,CSI - Customer Care,20182,20182
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Lookup Customer,11,"CCM, Clarify, CM",18293,18293
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Lookup Customer,11,CCMULE,30686,30686
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,CallBack ATTGuarantee,1,Lookup Customer,11,IDP-Cloud-CG,31468,31468
