editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,8,Process Disbursement,Workday ->>,Receive confirmation banks received integration files,5,Workday,29338,29338,,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Check Port,16,G2,10417,10417,verifySAMPolicies,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Check Port,16,G2,10417,10417,verifyCMSPolicies,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Activate Customer,23,LS-OMS,10038,10038,UpdateProductConfiguration,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,Receive Call,1,HVD-VDI,29243,29243,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,"HVD-VDI ->> HVD-VDI
Sonus TCCS ->> Sonus TCCS",Receive Call,1,Sonus TCCS,26630,26630,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,ISAAC WFE,10593,10593,POST /restservices/csicustomercareprofile/v2/adapter,10/9/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Check Port,16,GRANITE,9723,9723,updateFiberJack,9/23/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select Job / View Comments,4,EDGE,19062,19062,UpdateDispatchWorkOrder,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Arrive on Prem / Update Job,6,EDGE,19062,19062,UpdateDispatchWorkOrder,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Mark Job Complete,24,EDGE,19062,19062,UpdateDispatchWorkOrder,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,LS-OMS,10038,10038,submitSignature,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,SHM ->> SHM : shmLoginPushCheck,Contact Customer / Verify ETA,5,SHM,26965,26965,shmLoginPushCheck,10/7/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Register RG,22,SHM,26965,26965,shmLoginPushCheck,10/7/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,SetlnstLinkClickedService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,LS-OMS,10038,10038,sendSignatureDetails,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,LS-OMS,10038,10038,sendOpticalSignatureDetails,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,LS-OMS,10038,10038,saveSignature,
tm0828,Add,Mass Markets,Online,Mobility,1,Shop & Purchase,2,Order Plan/Device,1,Purchase Product,"ATTCOM ->> IDPWebSales:	
IDPWebSales ->> IDPIDM:
IDPWebSales ->> IDPBUPS:	updateBillingInformation
IDPWebSales ->> TLGMOB:	",Enter Billing Information,13,IDP-BUPS,33847,33847,updateBillingInformation,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,LS-OMS,10038,10038,retrieveSignature,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Check Port,16,G2,10417,10417,restorePolicyData,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Jobs,3,(FED) - FASTBPM,27267,27267,POST /restservices/getLconDetails,10/23/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select Job / View Comments,4,(FED) - FASTBPM,27267,27267,POST /restservices/getLconDetails,10/23/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,(FED) - FASTBPM,27267,27267,POST /restservices/getLconDetails,10/23/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select ONT,15,LSBBT,14311,14311,ontActivation,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select ONT,15,LSBBT,14311,14311,integratedOntActivation,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Jobs,3,EDGE,19062,19062,InquireDispatchWorkOrderList,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select Job / View Comments,4,EDGE,19062,19062,InquireDispatchWorkOrderList,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,EDGE,19062,19062,InquireDispatchWorkOrderList,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,GetTerminalAppearancesService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,GetSparePortPairsService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Add Port to Door,12,ABPT,18781,18781,GetSparePortPairsService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,GetSparePairsService,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,ISAAC WFE,10593,10593,GET /restservices/eco-control/v1/integrations/subscribers/details,10/23/2025
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,IDP-Cloud-CG,31468,31468,,
