ID,﻿editor,action,Line Of Business Component,Channel Component,Product Component,Domain Component,domain_sequence Qualifier,Subdomain Component,sub_domain_sequence Qualifier,Business Flow Component,business_flow_sequence Qualifier,Task Component,task sequence Qualifier,Application Component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated,SOX Control,persona_id
61,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,ATT CCT AEP,26150,26150,,,,
62,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,ATT CCT APIGEE,30793,30793,,,,
63,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,ATT CCT Service Access Gateway,26215,26215,,,,
64,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,CCT ATT IPCS,25363,25363,,,,
65,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,DialogFlow,31036,31036,,,,
66,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,IDP- Chat VA ANDi,30063,30063,,,,
67,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,PC-GCP BI,31445,31445,,,,
68,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,IDP-Customer Graph Cloud,31468,31468,,,,
69,bb0063,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
70,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
71,bb0063,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
72,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,IVR Menu + Retrieve Customer Info & Route Call,3,ISAAC WFE,10593,10593,POST /restservices/csicustomercareprofile/v2/adapter,10/9/2025,,
73,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Integrate Telephony,4,ATT CCTP ICM GEN ADAPTER FRAME,20813,20813,AssociateVhtGenesysInteraction,,,
74,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Integrate Telephony,4,ATT CCTP CTI FRAME,9367,9367,EgCtiRoute,,,
75,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Integrate Telephony,4,ATT CCTP ICM GEN ADAPTER FRAME,20813,20813,AssociateVhtInteraction,,,
76,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Integrate Telephony,4,ATT CCTP ICM GEN ADAPTER FRAME,20813,20813,AssociateVhtSingleCtiInteraction,,,
78,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Handoff to Agent from IVR,5,ATT Coral Desktop,26959,26959,OpenCTI toolkit,,,
79,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Handoff to Agent from IVR,5,ATT Coral Desktop,26959,26959,publish,,,
80,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Handoff to Agent from IVR,5,ATT Coral Desktop,26959,26959,runApex,,,
81,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Handoff to Agent from IVR,5,ATT Coral Desktop,26959,26959,saveLog,,,
82,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Handoff to Agent from IVR,5,CCSF,30685,30685,,POG no API,,
83,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Transcribe / Redact SPI,6,SC-SPI,26967,26967,POST /spiweb/scspi/scspi/rest/v1//register,10/7/2025,,
84,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Transcribe / Redact SPI,6,SC-SPI,26967,26967,POST /spiweb/scspi/scspi/rest/v1//unregister,10/7/2025,,
85,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Transcribe / Redact SPI,6,ATT Coral Desktop,26959,26959,POST /spiweb/scspi/scspi/rest/v1//updatecall,10/7/2025,,
86,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Transcribe / Redact SPI,6,RAISR,28167,28167,,,,
87,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Transcribe / Redact SPI,6,Sonus TCCS,26630,26630,,,,
88,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Record / Monitor Call,7,ATT VERINT CQM,9248,9248,,,,
89,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Record / Monitor Call,7,Qfiniti Call Recording,17611,17611,,,,
90,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Record / Monitor Call,7,ECRMI,28024,28024,,No API perf data - topics & batch processes,,
91,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,GRID-GDDN,22509,22509,/msapi/idgraph/idgraphuserregistrationms/v1/orchestration/wireless,,,
92,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,Halo.E AM,26224,26224,/attAAPI/adauthenticate,9/22/2025,,
93,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,MPSYS,8841,8841,POST /upao/v1/wireless,9/22/2025,,
94,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,IDP-IDM,32765,32765,/msAvertack-server/mitigation/authenticateDigital,10/13/2025,,
95,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,Avertack,25114,25114,,IDP API,,
96,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,IDP-IDM,32765,32765,,,,
97,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,IDP-Customer Graph Cloud,31468,31468,/msapi/idgraph/idgraphuserregistrationms/v1/orchestration/wireless,,,
98,ac412t,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Authenticate Customer,8,CCSF,30685,30685,,POG no API,,
99,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,IDP-Customer Graph Cloud,31468,31468,/msapi/cgraph/customergraphorchestrationms/cgsearch/v1/search,9/22/2025,,
100,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,GRID-AC,22510,22510,,CSI API,,
101,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,(FED) - US,24433,24433,inquireCollectionsData,,,
102,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,"""CCM",18293,18293,Clarify,"CM""",CSIInquireUnifiedCustomerServiceProfileRequest/inquireUnifiedCustomerServiceProfileRequest,
103,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,CCMULE,30686,30686,/ccapi/c360/att-services-customer-search-e/api/v1/individuals/search,9/22/2025,,
104,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,CCMULE,30686,30686,/ccapi/retail/att-sf-products-offers-e/api/topOffers,9/23/2025,,
105,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,CCMULE,30686,30686,/ccapi/c360/att-customer-crm-alerts-e/api/v1/alerts,10/22/2025,,
106,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,CCMULE,30686,30686,/api/v2/customer/authz/status,10/22/2025,,
107,lg8383,Add,Mass Markets,Care,Mobility,Onboard & Activate,2,Setup & Activate,3,Activate Line,4,Lookup Customer,9,CCMULE,30686,30686,att-order-e/api/v3/order,,,
