ID,editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
42,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,18193,TLG-MOB,ActivateSubscriberResellerResponse,9/22/2025,,
43,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,18198,"""SC",Switch Control,"TSC""",,
44,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
45,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
46,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20180,CSI - Product and Offer Mgt,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
47,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
48,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,19181,CS FOBPM,/restservices/csfobpm/EnhancedMobileServiceProvisioning/v1/officeathand/company,10/23/2025,,
49,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
50,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
51,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,22509,GRID-GDDN,,,,
52,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.8/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
53,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.8/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
54,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20188,CSI - Network Management,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.8/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
55,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,6,Activate Service,20187,CSI - Order and Subscription Mngt,ActivateSubscriberResellerResponse,9/22/2025,,
56,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,1,Activate Line - Self Service,30635,IDP Web-Support,,,,
57,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,1,Activate Line - Self Service,30558,myATT Mobile App,,POG no API,,
58,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,2,Receive Call,29243,HVD-VDI,,,,
59,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,2,Receive Call,26630,Sonus TCCS,,,,
60,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,34361,ECO USP,/api/integrations/subscribers/details,10/8/2025,,
61,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,26150,ATT CCT AEP,,,,
62,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,30793,ATT CCT APIGEE,,,,
63,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,26215,ATT CCT Service Access Gateway,,,,
64,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,25363,CCT ATT IPCS,,,,
65,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,31036,DialogFlow,,,,
66,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,30063,IDP- Chat VA ANDi,,,,
67,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,31445,PC-GCP BI,,,,
68,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,31468,IDP-Customer Graph Cloud,,,,
69,bb0063,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
70,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
